y_pred,y_true
[0.97644997 0.99221003],[1 1]
[0.13811532 0.61840719],[0 0]
[0.22420681 0.45293179],[0 0]
[0.67863733 0.09462237],[1 0]
[0.61655426 0.86770535],[0 1]
[0.08939248 0.89674187],[0 1]
[0.02327156 0.01259372],[0 0]
[0.53164929 0.97325718],[0 1]
[0.00556305 0.04157826],[0 0]
[0.57062578 0.09109026],[1 0]
[0.655545   0.81671572],[1 0]
[0.00277361 0.00235417],[0 0]
[0.90625525 0.99485874],[0 1]
[0.24726388 0.43993461],[0 0]
[0.78059185 0.98704505],[1 1]
[0.00378639 0.00450021],[0 0]
[0.07166588 0.04060438],[1 0]
[0.0064176  0.02592745],[0 0]
[0.95900965 0.07332996],[1 0]
[0.06089425 0.96133447],[0 1]
[0.80763239 0.01822448],[1 0]
[0.04613474 0.01096216],[0 0]
[0.00482225 0.00551927],[0 0]
[0.9726088  0.34535503],[1 0]
[0.07295635 0.94816041],[0 1]
[0.92402267 0.98021984],[0 1]
[0.88627064 0.95024318],[1 1]
[0.25909621 0.01220062],[0 0]
[0.87079519 0.01293948],[1 0]
[0.6652869  0.87732387],[0 1]
[0.98559129 0.18772325],[1 0]
[0.06830874 0.50562847],[0 0]
[0.89285934 0.46572348],[1 1]
[0.00505736 0.0062876 ],[0 0]
[0.31021321 0.97944605],[0 1]
[0.749623   0.23402098],[1 0]
[0.26424971 0.06402215],[0 0]
[0.66435277 0.99192858],[0 1]
[0.87157625 0.02290523],[1 0]
[0.15613419 0.60818774],[0 1]
[0.07470506 0.91555655],[0 1]
[0.00674957 0.00504541],[0 0]
[0.8332144  0.91665816],[1 1]
[0.83204317 0.00215665],[1 0]
[0.00218531 0.01001301],[0 0]
[0.00496501 0.02167758],[0 0]
[0.07424399 0.98454356],[0 1]
[0.96051729 0.99481702],[1 1]
[0.36130551 0.01066551],[0 0]
[0.13329908 0.7757045 ],[0 0]
[0.00531745 0.00082564],[0 0]
[0.00418019 0.01065391],[0 0]
[0.02965617 0.0027484 ],[0 0]
[0.97493416 0.99200839],[1 1]
[0.49371985 0.11701825],[0 0]
[0.91421235 0.93030679],[1 1]
[0.78416419 0.02897394],[1 0]
[0.00668144 0.00386387],[0 0]
[0.01007742 0.04142916],[0 0]
[0.9779771  0.02979484],[1 0]
[0.94458747 0.98759222],[1 1]
[0.98412484 0.98985326],[1 1]
[0.60190678 0.01872146],[1 0]
[0.54563302 0.94298065],[1 1]
[0.08312514 0.13877708],[1 1]
[0.00893012 0.02044958],[0 0]
[0.0876995  0.52580827],[1 0]
[0.00653833 0.05518275],[0 0]
[0.00439486 0.00796157],[0 0]
[0.96682286 0.99372375],[1 1]
[0.93620741 0.98848796],[1 1]
[0.07394099 0.71477544],[0 1]
[0.09455153 0.00526297],[0 0]
[0.39601088 0.00453159],[0 0]
[0.01635799 0.00363618],[0 0]
[0.00405017 0.00346476],[0 0]
[0.02783874 0.73783296],[0 0]
[0.39042655 0.05467838],[0 0]
[0.00430822 0.00841263],[0 0]
[0.07248583 0.06336024],[0 0]
[0.95304692 0.99677348],[1 1]
[0.95329309 0.99178362],[1 1]
[0.97497058 0.85995209],[1 1]
[0.00322124 0.00509885],[0 0]
[0.00365463 0.04832941],[0 0]
[0.35244811 0.96055019],[0 1]
[0.96084332 0.06853431],[1 0]
[0.68602097 0.71032351],[1 0]
[0.65855646 0.96686566],[1 1]
[0.26845539 0.93932748],[0 1]
[0.00529855 0.00180614],[0 0]
[0.00259027 0.0037635 ],[0 0]
[0.03620169 0.1856313 ],[0 0]
[0.18908823 0.39191091],[0 0]
[0.0329631  0.35980815],[0 1]
[0.02062497 0.00124192],[0 0]
[0.40871766 0.98623985],[0 1]
[0.62290031 0.03934422],[0 0]
[0.00388718 0.03331196],[0 0]
[0.00520372 0.00265011],[0 0]
[0.60079199 0.99378431],[0 1]
[0.17602417 0.91461569],[1 1]
[0.00248489 0.01789051],[0 0]
[0.01169243 0.09641987],[0 0]
[0.69686353 0.15727141],[1 0]
[0.01175338 0.01513523],[0 0]
[0.98341393 0.99354756],[1 1]
[0.02840534 0.67598742],[0 1]
[0.96844316 0.97932559],[1 1]
[0.01181355 0.00412738],[0 0]
[0.00351471 0.00254545],[0 0]
[0.01512885 0.03788513],[0 0]
[0.00721738 0.00223053],[0 0]
[0.97303319 0.99440849],[1 1]
[0.91842657 0.80502725],[1 1]
[0.01194948 0.00681585],[0 0]
[0.75196743 0.14919198],[1 1]
[0.25589582 0.83567613],[1 1]
[0.83772743 0.01908568],[1 0]
[0.00569338 0.00914213],[0 0]
[0.10150453 0.87803912],[0 1]
[0.00847277 0.02220324],[1 0]
[0.94723058 0.99367279],[1 1]
[0.50237393 0.85467184],[0 1]
[0.07571828 0.91105509],[0 1]
[0.01191562 0.02080402],[1 0]
[0.95179123 0.99193805],[1 1]
[0.00435689 0.00458202],[0 0]
[0.00828987 0.01241824],[0 0]
[0.01492491 0.27533895],[0 0]
[0.00261629 0.00300243],[0 0]
[0.00358784 0.00568396],[0 0]
[0.01671737 0.02126127],[0 0]
[0.05562404 0.90090823],[0 1]
[0.00323451 0.00375277],[0 0]
[0.55634356 0.98827499],[1 1]
[0.00288871 0.00306666],[0 0]
[0.08955503 0.04283389],[1 0]
[0.02621979 0.28530616],[0 0]
[0.00570512 0.00188738],[0 0]
[0.83435357 0.00633171],[1 0]
[0.95937204 0.99679816],[1 1]
[0.9720366  0.00947928],[1 0]
[0.14182103 0.43163002],[1 1]
[0.00802281 0.00750971],[0 0]
[0.24890229 0.02709696],[0 0]
[0.9688344  0.00658149],[1 0]
[0.45326149 0.97585428],[0 1]
[0.04357138 0.9715054 ],[0 1]
[0.00371459 0.02156648],[0 0]
[0.97178245 0.99196953],[1 1]
[0.8721658  0.97005361],[1 1]
[0.0018613  0.00715438],[0 0]
[0.00488949 0.00438175],[0 0]
[0.00240278 0.00638118],[0 0]
[0.97665453 0.98450041],[1 1]
[0.96113914 0.00482407],[1 0]
[0.43678603 0.01889905],[1 0]
[0.93772542 0.98919642],[1 1]
[0.9262327  0.00617489],[1 0]
[0.01330066 0.00494394],[0 0]
[0.14415848 0.01689529],[0 0]
[0.67967254 0.85699666],[0 1]
[0.94165176 0.99568772],[1 1]
[0.96003115 0.99066645],[1 1]
[0.53062654 0.58523554],[0 0]
[0.78655362 0.9574908 ],[1 1]
[0.05454236 0.4676424 ],[0 0]
[0.05474576 0.93745899],[0 1]
[0.02933231 0.3883099 ],[0 0]
[0.98515362 0.97731251],[1 1]
[0.50498694 0.83615166],[0 1]
[0.12382576 0.00281173],[0 0]
[0.00852779 0.00308529],[0 0]
[0.35007209 0.96522522],[0 1]
[0.96915519 0.99408567],[1 1]
[0.00246245 0.00344101],[0 0]
[0.01756749 0.01376924],[0 0]
[0.04409301 0.01062772],[0 0]
[0.88198864 0.98907065],[1 1]
[0.97304177 0.99114966],[1 1]
[0.98590571 0.99491918],[1 1]
[0.07798675 0.10234284],[0 0]
[0.0567477 0.6813615],[0 1]
[0.04516029 0.01592046],[0 0]
[0.03445914 0.6020878 ],[0 1]
[0.059623   0.86397886],[0 1]
[0.49089611 0.95114166],[0 1]
[0.20169598 0.65225434],[0 1]
[0.97288847 0.99641162],[1 1]
[0.96959078 0.97861487],[1 1]
[0.9425112  0.04421175],[1 0]
[0.01013714 0.08584526],[0 0]
[0.99361992 0.37972888],[1 0]
[0.04123327 0.74081469],[0 1]
[0.00929639 0.0071044 ],[0 0]
[0.97651136 0.99074876],[1 1]
[0.67470765 0.00994518],[0 0]
[0.69644976 0.00865969],[1 0]
[0.87671643 0.98244309],[1 1]
[0.03155649 0.00899172],[1 1]
[0.00265411 0.00559416],[0 0]
[0.97494197 0.99273086],[0 1]
[0.19138187 0.75270396],[1 1]
[0.9930836  0.99475491],[1 1]
[0.04720855 0.96902537],[0 1]
[0.00345984 0.00691906],[0 0]
[0.00238606 0.013246  ],[0 0]
[0.08016306 0.64584869],[0 1]
[0.95365512 0.9945783 ],[1 1]
[0.63596278 0.00644812],[1 0]
[0.98506367 0.98513359],[1 1]
[0.00245181 0.03061089],[0 0]
[0.00251171 0.00205743],[0 0]
[0.73462987 0.981879  ],[0 1]
[0.43416849 0.93444878],[0 1]
[0.72667813 0.31177449],[1 0]
[0.03873137 0.43924555],[0 1]
[0.07062718 0.97564673],[0 1]
[0.28098947 0.09470892],[1 1]
[0.97122502 0.10948154],[1 0]
[0.15787801 0.0131942 ],[1 0]
[0.00291872 0.00208798],[0 0]
[0.81740916 0.98660553],[1 1]
[0.91590762 0.02697331],[1 0]
[0.13258991 0.00758472],[0 0]
[0.01171136 0.06490555],[0 0]
[0.00524834 0.01510593],[0 0]
[0.49566519 0.97867006],[1 1]
[0.00362325 0.0057492 ],[0 0]
[0.04118314 0.2835325 ],[1 1]
[0.98179734 0.99029368],[1 1]
[0.97476602 0.98637235],[1 1]
[0.00996086 0.02340037],[0 0]
[0.01143292 0.00487751],[0 0]
