type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
B,500,4,-1.0,500,0.44463246049272953,0.9567307692307693,0.5264550264550265
B,500,5,-1.0,500,0.4146861218811969,0.9759615384615384,0.5205128205128206
B,500,6,-1.0,500,0.33980582524271846,0.9951923076923077,0.5048780487804878
A,500,4,0.0,0,0.33548387096774196,1.0,0.5048543689320388
A,500,5,0.0,0,0.33548387096774196,1.0,0.5048543689320388
A,500,6,0.0,0,0.33548387096774196,1.0,0.5048543689320388
C,500,4,0.25,125,0.33548387096774196,1.0,0.5048543689320388
C,500,5,0.25,125,0.33548387096774196,1.0,0.5048543689320388
C,500,6,0.25,125,0.33548387096774196,1.0,0.5048543689320388
C,500,4,0.5,250,0.33548387096774196,1.0,0.5048543689320388
C,500,5,0.5,250,0.33548387096774196,1.0,0.5048543689320388
C,500,6,0.5,250,0.33548387096774196,1.0,0.5048543689320388
C,500,4,0.75,375,0.3387044997220461,0.9903846153846154,0.5036674816625917
C,500,5,0.75,375,0.3344103392568659,0.9951923076923077,0.5036496350364964
C,500,6,0.75,375,0.33548387096774196,1.0,0.5048543689320388
C,500,4,1.0,500,0.33980582524271846,0.9951923076923077,0.5048780487804878
C,500,5,1.0,500,0.344030969030969,0.9903846153846154,0.5049019607843137
C,500,6,1.0,500,0.34627831715210355,1.0,0.5073170731707317
C,500,4,1.5,750,0.33548387096774196,1.0,0.5048543689320388
C,500,5,1.5,750,0.35160782655673783,1.0,0.508557457212714
C,500,6,1.5,750,0.3712541620421754,0.9951923076923077,0.5123762376237624
C,500,4,2.0,1000,0.3874183931469112,0.9807692307692307,0.5138539042821159
C,500,5,2.0,1000,0.390065214585595,0.9903846153846154,0.5162907268170426
C,500,6,2.0,1000,0.3838094731967295,0.9855769230769231,0.5137844611528822
C,500,4,3.0,1500,0.39985659836220233,0.9903846153846154,0.5188916876574308
C,500,5,3.0,1500,0.390065214585595,0.9903846153846154,0.5162907268170426
C,500,6,3.0,1500,0.38511208576998046,0.9903846153846154,0.515
C,500,4,4.0,2000,0.3913864522417154,0.9951923076923077,0.5175
C,500,5,4.0,2000,0.390065214585595,0.9903846153846154,0.5162907268170426
C,500,6,4.0,2000,0.38641310573948906,0.9951923076923077,0.516209476309227
C,500,4,5.0,2500,0.4709757997179323,0.9471153846153846,0.5338753387533876
C,500,5,5.0,2500,0.41284704864090493,0.9855769230769231,0.5216284987277354
C,500,6,5.0,2500,0.46013330216810805,0.9519230769230769,0.5308310991957105
C,500,4,6.0,3000,0.38641310573948906,0.9951923076923077,0.516209476309227
C,500,5,6.0,3000,0.40809912902936163,0.9855769230769231,0.5203045685279187
C,500,6,6.0,3000,0.42078314144493445,0.9807692307692307,0.5230769230769231
C,500,4,7.0,3500,0.3913864522417154,0.9951923076923077,0.5175
C,500,5,7.0,3500,0.45913242009132416,0.9615384615384616,0.5319148936170213
C,500,6,7.0,3500,0.5280264279624893,0.9134615384615384,0.5523255813953488
C,500,4,8.0,4000,0.43000117744024485,0.9807692307692307,0.5257731958762887
C,500,5,8.0,4000,0.5997173644232467,0.875,0.5870967741935483
C,500,6,8.0,4000,0.39985659836220233,0.9903846153846154,0.5188916876574308
C,500,4,9.0,4500,0.478436998902861,0.9567307692307693,0.5378378378378378
C,500,5,9.0,4500,0.42553455538278473,0.9663461538461539,0.522077922077922
C,500,6,9.0,4500,0.5369194964561516,0.9086538461538461,0.5558823529411765
C,500,4,10.0,5000,0.4743082725318107,0.9567307692307693,0.5363881401617251
