tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,7500,0.25,0,0.6678994784257943,0.5865384615384616,0.7093023255813954
B,7500,0.25,0,0.5548528210398713,0.9182692307692307,0.5650887573964497
C,7500,0.25,1875,0.6695213154976762,0.6298076923076923,0.6894736842105263
C,7500,0.5,3750,0.6649222065063649,0.6394230769230769,0.6785714285714286
C,7500,0.75,5625,0.6721736619062494,0.6442307692307693,0.6871794871794872
C,7500,1.0,7500,0.674749617061388,0.6634615384615384,0.6831683168316832
C,7500,1.5,11250,0.6596809213631645,0.6923076923076923,0.6545454545454545
C,7500,2.0,15000,0.6660414756086737,0.7259615384615384,0.6536796536796536
C,7500,3.0,22500,0.6860776241413324,0.7307692307692307,0.6755555555555556
C,7500,4.0,30000,0.6882625555660644,0.7403846153846154,0.6754385964912281
C,7500,5.0,37500,0.6974248418658642,0.7644230769230769,0.6794871794871795
C,7500,6.0,45000,0.7025094696969697,0.7644230769230769,0.6853448275862069
C,7500,7.0,52500,0.6866547831253713,0.7740384615384616,0.6652892561983471
C,7500,8.0,60000,0.7023050863518987,0.7692307692307693,0.6837606837606838
C,7500,9.0,67500,0.6978517639623418,0.8028846153846154,0.6706827309236948
C,7500,10.0,75000,0.6964468211527035,0.7836538461538461,0.6735537190082644
