tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,7500,0.25,0,0.6812106105621283,0.625,0.7103825136612022
B,7500,0.25,0,0.6915276819770905,0.7115384615384616,0.6883720930232559
C,7500,0.25,1875,0.6843474387527839,0.5913461538461539,0.7365269461077845
C,7500,0.5,3750,0.6743812961521222,0.6346153846153846,0.6947368421052632
C,7500,0.75,5625,0.6723281666990686,0.6634615384615384,0.6798029556650246
C,7500,1.0,7500,0.674749617061388,0.6634615384615384,0.6831683168316832
C,7500,1.5,11250,0.6771369145469864,0.6826923076923077,0.6794258373205742
C,7500,2.0,15000,0.6817587641117053,0.5865384615384616,0.7349397590361446
C,7500,3.0,22500,0.6906083881763728,0.7451923076923077,0.6768558951965066
C,7500,4.0,30000,0.6938587470203242,0.7836538461538461,0.6707818930041153
C,7500,5.0,37500,0.6974248418658642,0.7644230769230769,0.6794871794871795
C,7500,6.0,45000,0.7025094696969697,0.7644230769230769,0.6853448275862069
C,7500,7.0,52500,0.700467200610221,0.8028846153846154,0.6733870967741935
C,7500,8.0,60000,0.7023050863518987,0.7692307692307693,0.6837606837606838
C,7500,9.0,67500,0.6978517639623418,0.8028846153846154,0.6706827309236948
C,7500,10.0,75000,0.6981684981684981,0.7980769230769231,0.6720647773279352
