type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
B,500,1,-1.0,500,0.41591411035640513,0.920656634746922,0.555739058629232
B,500,2,-1.0,500,0.4940346814725154,0.8180574555403557,0.5700667302192565
B,500,3,-1.0,500,0.5311052050947749,0.7674418604651163,0.5849843587069864
A,500,1,0.0,0,0.3936842598083586,0.957592339261286,0.5559968228752978
A,500,2,0.0,0,0.39446571332057195,0.960328317373461,0.5567010309278351
A,500,3,0.0,0,0.39534649876647143,0.957592339261286,0.5564387917329093
C,500,1,0.25,125,0.40197386711148175,0.9521203830369357,0.5572457966373099
C,500,2,0.25,125,0.35693359374999994,1.0,0.5550493545937737
C,500,3,0.25,125,0.38166136329676087,0.9958960328317373,0.56
C,500,1,0.5,250,0.40197386711148175,0.9521203830369357,0.5572457966373099
C,500,2,0.5,250,0.39905532264796206,0.9589603283173734,0.5576770087509945
C,500,3,0.5,250,0.41646865982079523,0.9521203830369357,0.5612903225806452
C,500,1,0.75,375,0.4295148493783627,0.9534883720930233,0.5652879156528792
C,500,2,0.75,375,0.4702970333563833,0.9493844049247606,0.5773710482529119
C,500,3,0.75,375,0.49288938963554074,0.9233926128590971,0.5818965517241379
C,500,1,1.0,500,0.41921647257013106,0.9507523939808481,0.5618431689571544
C,500,2,1.0,500,0.4088709658793015,0.9534883720930233,0.5593900481540931
C,500,3,1.0,500,0.49273408061020674,0.905608755129959,0.5796847635726795
C,500,1,1.5,750,0.41236448968799577,0.9288645690834473,0.5561015561015561
C,500,2,1.5,750,0.39421537782193516,0.9835841313269493,0.5608424336973479
C,500,3,1.5,750,0.4805155857586054,0.957592339261286,0.5818786367414797
C,500,1,2.0,1000,0.4072541862931268,0.9534883720930233,0.5589414595028067
C,500,2,2.0,1000,0.41546263244376447,0.9808481532147743,0.5659037095501184
C,500,3,2.0,1000,0.4623046888216705,0.9644322845417237,0.5769230769230769
C,500,1,3.0,1500,0.4693206456365312,0.9589603283173734,0.5783828382838284
C,500,2,3.0,1500,0.4487190965837219,0.9740082079343365,0.5741935483870968
C,500,3,3.0,1500,0.47618505466026,0.9699042407660738,0.5821018062397373
C,500,1,4.0,2000,0.49643239039564496,0.9398084815321477,0.5851788756388415
C,500,2,4.0,2000,0.5596647900084126,0.9042407660738714,0.6080956761729531
C,500,3,4.0,2000,0.5459873138444566,0.9233926128590971,0.6032171581769437
C,500,1,5.0,2500,0.4798871650211566,0.948016415868673,0.5804020100502513
C,500,2,5.0,2500,0.5202516441539007,0.9288645690834473,0.5930131004366812
C,500,3,5.0,2500,0.5648202998625745,0.8891928864569083,0.6097560975609756
C,500,1,6.0,3000,0.4836512072589589,0.9466484268125855,0.5815126050420169
C,500,2,6.0,3000,0.5367908772361392,0.9192886456908345,0.5989304812834224
C,500,3,6.0,3000,0.5300334010945615,0.9274965800273598,0.596830985915493
C,500,1,7.0,3500,0.4822326345450081,0.9466484268125855,0.581024349286314
C,500,2,7.0,3500,0.5744262378504911,0.8290013679890561,0.6127401415571284
C,500,3,7.0,3500,0.5272898579985195,0.9302325581395349,0.595968448729185
C,500,1,8.0,4000,0.5145710718744426,0.9179206566347469,0.5896309314586995
C,500,2,8.0,4000,0.48205615439000293,0.9658002735978112,0.5834710743801653
C,500,3,8.0,4000,0.5672736765003817,0.8563611491108071,0.6095423563777994
C,500,1,9.0,4500,0.5744787337563606,0.8221614227086184,0.6126401630988787
C,500,2,9.0,4500,0.5705194463544075,0.8440492476060192,0.6108910891089109
C,500,3,9.0,4500,0.5831874263020607,0.841313269493844,0.6180904522613065
C,500,1,10.0,5000,0.567587626281912,0.8645690834473324,0.61003861003861
C,500,2,10.0,5000,0.5427108338208999,0.9097127222982216,0.6007226738934056
C,500,3,10.0,5000,0.594419807834442,0.786593707250342,0.6256800870511425
B,1000,1,-1.0,1000,0.46143858117776315,0.920656634746922,0.5703389830508474
B,1000,2,-1.0,1000,0.44970218521643984,0.945280437756498,0.5701320132013201
B,1000,3,-1.0,1000,0.5583380917421215,0.7140902872777017,0.6013824884792627
A,1000,1,0.0,0,0.4072541862931268,0.9534883720930233,0.5589414595028067
A,1000,2,0.0,0,0.44279575221666834,0.9562243502051984,0.5696821515892421
A,1000,3,0.0,0,0.4629861926621828,0.9493844049247606,0.5749792874896438
C,1000,1,0.25,250,0.413696232845169,0.9534883720930233,0.5607401448109413
C,1000,2,0.25,250,0.4263832457160958,0.9534883720930233,0.5643724696356275
C,1000,3,0.25,250,0.5169591987451662,0.9370725034199726,0.592560553633218
C,1000,1,0.5,500,0.4075745483566713,0.9439124487004104,0.5573505654281099
C,1000,2,0.5,500,0.4113140891267355,0.9562243502051984,0.5605453087409783
C,1000,3,0.5,500,0.5115318649099261,0.9233926128590971,0.5890052356020943
C,1000,1,0.75,750,0.5369691577327059,0.9288645690834473,0.5998233215547704
C,1000,2,0.75,750,0.4200721668399486,0.9534883720930233,0.5625504439063761
C,1000,3,0.75,750,0.4417276158820086,0.9439124487004104,0.5674342105263158
C,1000,1,1.0,1000,0.5828639347146922,0.9015047879616963,0.6193609022556391
C,1000,2,1.0,1000,0.4354771760788582,0.948016415868673,0.5661764705882353
C,1000,3,1.0,1000,0.5338637757092692,0.9274965800273598,0.5984112974404237
C,1000,1,1.5,1500,0.40849371526612216,0.9630642954856361,0.5609561752988048
C,1000,2,1.5,1500,0.5979119152867006,0.8878248974008208,0.6270531400966184
C,1000,3,1.5,1500,0.572609022153087,0.9069767441860465,0.6144578313253012
C,1000,1,2.0,2000,0.5999495451339372,0.8686730506155951,0.6280909990108803
C,1000,2,2.0,2000,0.6014690104811422,0.8604651162790697,0.629
C,1000,3,2.0,2000,0.5584851052051331,0.8987688098495212,0.6072088724584104
C,1000,1,3.0,3000,0.5862559793148029,0.8645690834473324,0.620215897939156
C,1000,2,3.0,3000,0.61550550351579,0.8207934336525308,0.6389776357827476
C,1000,3,3.0,3000,0.5841653140999212,0.8768809849521204,0.6193236714975845
C,1000,1,4.0,4000,0.5730446355446355,0.8768809849521204,0.6133971291866028
C,1000,2,4.0,4000,0.6029996416810279,0.841313269493844,0.6301229508196722
C,1000,3,4.0,4000,0.5835498456432943,0.8755129958960328,0.6189555125725339
C,1000,1,5.0,5000,0.5631630474906512,0.896032831737346,0.6093023255813953
C,1000,2,5.0,5000,0.5590622254601556,0.8946648426812586,0.6072423398328691
C,1000,3,5.0,5000,0.6005640623765003,0.7811217510259918,0.630242825607064
C,1000,1,6.0,6000,0.6088257985819929,0.7783857729138167,0.6364653243847874
