tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,5000,0.25,0,0.7077690104420544,0.8180574555403557,0.715311004784689
B,5000,0.25,0,0.5743374272786037,0.5471956224350205,0.6359300476947536
C,5000,0.25,1250,0.6888165906323269,0.7414500683994528,0.716931216931217
C,5000,0.5,2500,0.6845064468399915,0.7428180574555403,0.7116644823066841
C,5000,0.75,3750,0.6772386167731468,0.813953488372093,0.6878612716763006
C,5000,1.0,5000,0.6866389709766301,0.7852257181942545,0.7025703794369645
C,5000,1.5,7500,0.6739212121176814,0.7017783857729138,0.7125
C,5000,2.0,10000,0.6668450021952717,0.6867305061559508,0.7090395480225988
C,5000,3.0,15000,0.6460620293925381,0.7934336525307798,0.6643757159221076
C,5000,4.0,20000,0.6394501027361823,0.7264021887824897,0.6687657430730478
C,5000,5.0,25000,0.6291359647064345,0.6908344733242134,0.6653491436100132
C,5000,6.0,30000,0.6207397318515295,0.8153214774281806,0.6429341963322546
C,5000,7.0,35000,0.6118730323025834,0.7387140902872777,0.6420927467300832
C,5000,8.0,40000,0.6069705939440992,0.7647058823529411,0.6359499431171786
C,5000,9.0,45000,0.6081893867761352,0.5430916552667578,0.6856649395509499
C,5000,10.0,50000,0.601207014178647,0.79890560875513,0.6299892125134844
