tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,1000,0.25,0,0.6451611378439954,0.7291381668946648,0.6738305941845765
B,1000,0.25,0,0.6258498112128728,0.746922024623803,0.65311004784689
C,1000,0.25,250,0.658010106208768,0.7045143638850889,0.693135935397039
C,1000,0.5,500,0.6652355159537102,0.640218878248974,0.7255813953488373
C,1000,0.75,750,0.6803021375880842,0.7510259917920656,0.7047496790757382
C,1000,1.0,1000,0.6748877917414722,0.7537619699042407,0.6983523447401775
C,1000,1.5,1500,0.7119816086993994,0.761969904240766,0.7367724867724867
C,1000,2.0,2000,0.7011805471520725,0.719562243502052,0.739803094233474
C,1000,3.0,3000,0.7072243301752834,0.7264021887824897,0.7447405329593267
C,1000,4.0,4000,0.6921478464591171,0.7414500683994528,0.7207446808510638
C,1000,5.0,5000,0.6820715101334235,0.7017783857729138,0.7225352112676057
C,1000,6.0,6000,0.6790900382864569,0.6689466484268126,0.7320359281437125
C,1000,7.0,7000,0.6737676492444884,0.7140902872777017,0.7082767978290366
C,1000,8.0,8000,0.6679892585082479,0.6238030095759234,0.7378640776699029
C,1000,9.0,9000,0.6692645416049672,0.6361149110807114,0.7334384858044164
C,1000,10.0,10000,0.6580516450250244,0.6429548563611491,0.7142857142857143
