type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
B,500,4,-1.0,500,0.3178015925112018,0.009575923392612859,0.7777777777777778
B,500,5,-1.0,500,0.5859227392705584,0.6292749658002736,0.6318681318681318
B,500,6,-1.0,500,0.41361186196866945,0.12038303693570451,0.7272727272727273
A,500,4,0.0,0,0.35661944308744503,0.9986320109439124,0.5547112462006079
A,500,5,0.0,0,0.38416891202553166,0.9986320109439124,0.5611068408916219
A,500,6,0.0,0,0.35693359374999994,1.0,0.5550493545937737
C,500,4,0.25,125,0.42168111507734146,0.9849521203830369,0.5682715074980268
C,500,5,0.25,125,0.3787557477039948,0.9986320109439124,0.5598159509202454
C,500,6,0.25,125,0.44806576402321086,0.9767441860465116,0.5744167337087691
C,500,4,0.5,250,0.3704256375583681,0.08481532147742818,0.5299145299145299
C,500,5,0.5,250,0.5237427532503173,0.9507523939808481,0.5965665236051502
C,500,6,0.5,250,0.47470085470085466,0.9699042407660738,0.5816242821985234
C,500,4,0.75,375,0.439472120247875,0.9794801641586868,0.5723421262989609
C,500,5,0.75,375,0.4335988815073377,0.9863201094391245,0.5717684377478192
C,500,6,0.75,375,0.6341501869453579,0.8495212038303693,0.650261780104712
C,500,4,1.0,500,0.5085678748083653,0.9534883720930233,0.5911789652247668
C,500,5,1.0,500,0.5958465370041961,0.8714090287277702,0.6257367387033399
C,500,6,1.0,500,0.6109675530166037,0.8741450068399452,0.634558093346574
C,500,4,1.5,750,0.38272143674482656,0.9863201094391245,0.5584817970565453
C,500,5,1.5,750,0.5039286803539652,0.9630642954856361,0.5906040268456376
C,500,6,1.5,750,0.5709385847570991,0.9192886456908345,0.6142595978062158
C,500,4,2.0,1000,0.6344661664832209,0.8755129958960328,0.6490872210953347
C,500,5,2.0,1000,0.49515883634469204,0.9699042407660738,0.5883817427385892
C,500,6,2.0,1000,0.6442938435413219,0.8440492476060192,0.6577825159914712
C,500,4,3.0,1500,0.6526187186933191,0.8673050615595075,0.6617954070981211
C,500,5,3.0,1500,0.6376571255489929,0.8673050615595075,0.6515930113052415
C,500,6,3.0,1500,0.6090199309478971,0.9001367989056087,0.6333012512030799
C,500,4,4.0,2000,0.6545603972861438,0.8632010943912448,0.6635120925341745
C,500,5,4.0,2000,0.5636923666630161,0.9274965800273598,0.6113615870153292
C,500,6,4.0,2000,0.5893374660675,0.908344733242134,0.6228893058161351
C,500,4,5.0,2500,0.6253362719272844,0.8714090287277702,0.6434343434343435
C,500,5,5.0,2500,0.644911165035004,0.841313269493844,0.658458244111349
C,500,6,5.0,2500,0.6478716666180725,0.8454172366621067,0.6602564102564102
C,500,4,6.0,3000,0.6521546668800966,0.8344733242134063,0.664488017429194
C,500,5,6.0,3000,0.631297361141919,0.8645690834473324,0.6475409836065574
C,500,6,6.0,3000,0.6286172047688174,0.8632010943912448,0.6458546571136131
C,500,4,7.0,3500,0.6476421375503945,0.8194254445964432,0.6626106194690266
C,500,5,7.0,3500,0.6466605643583108,0.8002735978112175,0.6640181611804767
C,500,6,7.0,3500,0.6411916503659623,0.813953488372093,0.6581858407079646
C,500,4,8.0,4000,0.6271065506931232,0.853625170998632,0.6452947259565667
C,500,5,8.0,4000,0.6434129142085964,0.7824897400820794,0.6635730858468677
C,500,6,8.0,4000,0.6370169965789318,0.8290013679890561,0.6537216828478964
C,500,4,9.0,4500,0.6428511664752952,0.7400820793433652,0.6695544554455446
C,500,5,9.0,4500,0.64138816326897,0.761969904240766,0.6646778042959427
C,500,6,9.0,4500,0.6434280703267636,0.7660738714090287,0.6658739595719382
C,500,4,10.0,5000,0.6442215316577304,0.7551299589603283,0.6682808716707022
C,500,5,10.0,5000,0.64462503715467,0.7523939808481532,0.6690997566909975
C,500,6,10.0,5000,0.6409358827304839,0.7961696306429549,0.6598639455782312
B,1000,4,-1.0,1000,0.6054021600310956,0.4952120383036936,0.7084148727984344
B,1000,5,-1.0,1000,0.39173778039890006,0.9685362517099864,0.5574803149606299
B,1000,6,-1.0,1000,0.4748552816524303,0.25444596443228457,0.62
A,1000,4,0.0,0,0.643608564760004,0.786593707250342,0.6632064590542099
A,1000,5,0.0,0,0.636398222629976,0.7906976744186046,0.6568181818181819
A,1000,6,0.0,0,0.5542430060035733,0.9370725034199726,0.6078083407275954
C,1000,4,0.25,250,0.647224961649695,0.7920656634746922,0.6655172413793103
C,1000,5,0.25,250,0.6222057066887283,0.8454172366621067,0.6424116424116424
C,1000,6,0.25,250,0.6398862900735838,0.801641586867305,0.6584269662921348
C,1000,4,0.5,500,0.6484556957386182,0.8153214774281806,0.6636971046770601
C,1000,5,0.5,500,0.6452378989032737,0.8125854993160054,0.6614699331848553
C,1000,6,0.5,500,0.639102705891027,0.8194254445964432,0.656078860898138
C,1000,4,0.75,750,0.6699767571362856,0.813953488372093,0.6815578465063001
C,1000,5,0.75,750,0.6292127945229442,0.8796169630642955,0.6455823293172691
C,1000,6,0.75,750,0.6474484165623406,0.8385772913816689,0.6605603448275862
C,1000,4,1.0,1000,0.6556786494003097,0.8358413132694938,0.6670305676855895
C,1000,5,1.0,1000,0.6311203190368431,0.8727770177838577,0.6470588235294118
C,1000,6,1.0,1000,0.6667218204646546,0.8221614227086184,0.677564825253664
C,1000,4,1.5,1500,0.6563393114476705,0.8508891928864569,0.6659528907922913
C,1000,5,1.5,1500,0.6680860066041006,0.8399452804377565,0.6762114537444934
C,1000,6,1.5,1500,0.6681856874486322,0.8344733242134063,0.6770255271920089
C,1000,4,2.0,2000,0.6673797744796541,0.8577291381668947,0.673469387755102
C,1000,5,2.0,2000,0.6842931783491839,0.8481532147742818,0.6881243063263041
C,1000,6,2.0,2000,0.6859039274392391,0.8495212038303693,0.6892341842397336
C,1000,4,3.0,3000,0.6860889268376574,0.8207934336525308,0.6944444444444444
C,1000,5,3.0,3000,0.6779379130451708,0.8317373461012312,0.685456595264938
C,1000,6,3.0,3000,0.6786211764849068,0.8331053351573188,0.6858108108108109
C,1000,4,4.0,4000,0.6643747256499049,0.8248974008207934,0.6752519596864501
C,1000,5,4.0,4000,0.6676444780111026,0.8221614227086184,0.6783295711060948
C,1000,6,4.0,4000,0.6453339051770138,0.8522571819425444,0.6578669482576558
C,1000,4,5.0,5000,0.6729981378026071,0.7824897400820794,0.6899879372738239
C,1000,5,5.0,5000,0.6755027123818436,0.7701778385772914,0.6950617283950618
C,1000,6,5.0,5000,0.6578523111885904,0.8098495212038304,0.6719636776390465
C,1000,4,6.0,6000,0.6760128396261926,0.7660738714090287,0.6965174129353234
C,1000,5,6.0,6000,0.6772983169833824,0.7551299589603283,0.700507614213198
C,1000,6,6.0,6000,0.6537921994853928,0.801641586867305,0.6697142857142857
C,1000,4,7.0,7000,0.6613083914605793,0.7222982216142271,0.6920052424639581
C,1000,5,7.0,7000,0.6640830572122819,0.7359781121751026,0.6915167095115681
C,1000,6,7.0,7000,0.6639220680710396,0.7127222982216143,0.6974564926372155
C,1000,4,8.0,8000,0.6565530859034592,0.7551299589603283,0.6798029556650246
C,1000,5,8.0,8000,0.6601548269581057,0.6990424076607387,0.6971350613915416
C,1000,6,8.0,8000,0.6544990026375745,0.7373461012311902,0.6814159292035398
C,1000,4,9.0,9000,0.6486372635747083,0.6976744186046512,0.6845637583892618
C,1000,5,9.0,9000,0.6542379407715107,0.6908344733242134,0.6927297668038409
C,1000,6,9.0,9000,0.6503364566788531,0.7140902872777017,0.6823529411764706
C,1000,4,10.0,10000,0.651725302889096,0.6812585499316005,0.6926286509040334
