tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,500,0.25,0,0.6438103039309162,0.7578659370725034,0.6674698795180722
B,500,0.25,0,0.6009986790844652,0.5143638850889193,0.6886446886446886
C,500,0.25,125,0.6462766706074425,0.7045143638850889,0.6803170409511229
C,500,0.5,250,0.6466930055604332,0.6607387140902873,0.6929698708751794
C,500,0.75,375,0.6481571266016919,0.6744186046511628,0.6904761904761905
C,500,1.0,500,0.6459100537722013,0.6716826265389877,0.6886395511921458
C,500,1.5,750,0.6685136125751616,0.6730506155950753,0.7161572052401747
C,500,2.0,1000,0.6755453396914604,0.7222982216142271,0.707774798927614
C,500,3.0,1500,0.6879409196808337,0.7222982216142271,0.7222982216142271
C,500,4.0,2000,0.6786242803854251,0.7045143638850889,0.7172701949860725
C,500,5.0,2500,0.6780031894911345,0.7127222982216143,0.7136986301369863
C,500,6.0,3000,0.6815758403617169,0.746922024623803,0.7072538860103627
C,500,7.0,3500,0.668336549236783,0.7277701778385773,0.6981627296587927
C,500,8.0,4000,0.6638360345801845,0.7222982216142271,0.6947368421052632
C,500,9.0,4500,0.6591862666135537,0.679890560875513,0.7019774011299436
C,500,10.0,5000,0.6534342555230284,0.7086183310533516,0.6870026525198939
