tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,1000,0.25,0,0.5302517758124178,0.42933333333333334,0.5036496350364964
B,1000,0.25,0,0.5338110165696373,0.49244444444444446,0.5
C,1000,0.25,250,0.5459598756855564,0.4471111111111111,0.5228690228690228
C,1000,0.5,500,0.5595425352017644,0.4177777777777778,0.5548996458087367
C,1000,0.75,750,0.5736577503641943,0.4151111111111111,0.58375
C,1000,1.0,1000,0.5786303580433687,0.44177777777777777,0.5792540792540792
C,1000,1.5,1500,0.5965372723636051,0.42844444444444446,0.6243523316062176
C,1000,2.0,2000,0.5725970063585053,0.48,0.5544147843942505
C,1000,3.0,3000,0.6292193630672469,0.5182222222222223,0.6343852013057671
C,1000,4.0,4000,0.6316699746739909,0.4222222222222222,0.7240853658536586
C,1000,5.0,5000,0.6478022447329231,0.5697777777777778,0.6416416416416416
C,1000,6.0,6000,0.6433103789406973,0.45866666666666667,0.712707182320442
C,1000,7.0,7000,0.6437522363716551,0.5422222222222223,0.6482465462274176
C,1000,8.0,8000,0.6146864638953269,0.49244444444444446,0.6210762331838565
C,1000,9.0,9000,0.6337399869294431,0.4408888888888889,0.7065527065527065
C,1000,10.0,10000,0.6346583584013751,0.42844444444444446,0.724812030075188
