tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,7500,0.25,0,0.6023104666703283,0.4817777777777778,0.6035634743875279
B,7500,0.25,0,0.6123436174329653,0.48,0.6235565819861432
C,7500,0.25,1875,0.6278158560777072,0.7831111111111111,0.5746901500326158
C,7500,0.5,3750,0.6265591732946718,0.4328888888888889,0.6957142857142857
C,7500,0.75,5625,0.6381109087214631,0.5502222222222222,0.6342213114754098
C,7500,1.0,7500,0.6413464084234537,0.7324444444444445,0.5915290739411343
C,7500,1.5,11250,0.6446871290770182,0.5297777777777778,0.6571113561190739
C,7500,2.0,15000,0.6567769085973755,0.5342222222222223,0.6783295711060948
C,7500,3.0,22500,0.6657350346270934,0.544,0.6899661781285231
C,7500,4.0,30000,0.6643765328349956,0.5288888888888889,0.6983568075117371
C,7500,5.0,37500,0.664730739828421,0.5111111111111111,0.7142857142857143
C,7500,6.0,45000,0.6676330302118084,0.5191111111111111,0.7139364303178484
C,7500,7.0,52500,0.6655160388868795,0.5386666666666666,0.6933638443935927
C,7500,8.0,60000,0.6640492086271084,0.5644444444444444,0.6733828207847296
C,7500,9.0,67500,0.6706663954986103,0.5786666666666667,0.6774193548387096
C,7500,10.0,75000,0.6636751853173581,0.5493333333333333,0.6821192052980133
