tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,12389,0.25,0,0.7948768472906405,0.7724444444444445,0.7842960288808665
B,12389,0.25,0,0.7673749062853363,0.8186666666666667,0.718408736349454
C,12389,0.25,3097,0.7873233463301184,0.7502222222222222,0.7851162790697674
C,12389,0.5,6194,0.7936747542808955,0.7724444444444445,0.7821782178217822
C,12389,0.75,9291,0.8112994607672062,0.8177777777777778,0.7849829351535836
C,12389,1.0,12389,0.8112474806567662,0.8151111111111111,0.7864493996569468
C,12389,1.5,18583,0.7914982829750299,0.7973333333333333,0.7640545144804088
C,12389,2.0,24778,0.8096167627123705,0.8408888888888889,0.7697314890154597
C,12389,3.0,37167,0.8071504899294921,0.7946666666666666,0.79185119574845
C,12389,4.0,49556,0.8138032656024097,0.7448888888888889,0.8413654618473896
C,12389,5.0,61945,0.8145321170968489,0.8,0.8014247551202137
C,12389,6.0,74334,0.814105441616561,0.7617777777777778,0.8280193236714976
C,12389,7.0,86723,0.8176693945654989,0.7715555555555556,0.8274547187797903
C,12389,8.0,99112,0.8233718730234517,0.7742222222222223,0.8366954851104706
C,12389,9.0,111501,0.8225387214811095,0.7733333333333333,0.8357348703170029
C,12389,10.0,123890,0.8153452792752629,0.7528888888888889,0.837784371909001
