type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
B,500,1,-1.0,500,0.4146861218811969,0.9759615384615384,0.5205128205128206
B,500,2,-1.0,500,0.33548387096774196,1.0,0.5048543689320388
B,500,3,-1.0,500,0.4149612062655541,0.9615384615384616,0.5181347150259067
A,500,1,0.0,0,0.33548387096774196,1.0,0.5048543689320388
A,500,2,0.0,0,0.33548387096774196,1.0,0.5048543689320388
A,500,3,0.0,0,0.33548387096774196,1.0,0.5048543689320388
C,500,1,0.25,125,0.33548387096774196,1.0,0.5048543689320388
C,500,2,0.25,125,0.33548387096774196,1.0,0.5048543689320388
C,500,3,0.25,125,0.33548387096774196,1.0,0.5048543689320388
C,500,1,0.5,250,0.33548387096774196,1.0,0.5048543689320388
C,500,2,0.5,250,0.33548387096774196,1.0,0.5048543689320388
C,500,3,0.5,250,0.33548387096774196,1.0,0.5048543689320388
C,500,1,0.75,375,0.3344103392568659,0.9951923076923077,0.5036496350364964
C,500,2,0.75,375,0.3344103392568659,0.9951923076923077,0.5036496350364964
C,500,3,0.75,375,0.3344103392568659,0.9951923076923077,0.5036496350364964
C,500,1,1.0,500,0.33980582524271846,0.9951923076923077,0.5048780487804878
C,500,2,1.0,500,0.3344103392568659,0.9951923076923077,0.5036496350364964
C,500,3,1.0,500,0.3344103392568659,0.9951923076923077,0.5036496350364964
C,500,1,1.5,750,0.3344103392568659,0.9951923076923077,0.5036496350364964
C,500,2,1.5,750,0.35572412183451974,0.9951923076923077,0.5085995085995086
C,500,3,1.5,750,0.3609430742981231,0.9951923076923077,0.5098522167487685
C,500,1,2.0,1000,0.390065214585595,0.9903846153846154,0.5162907268170426
C,500,2,2.0,1000,0.3887425439791685,0.9855769230769231,0.5150753768844221
C,500,3,2.0,1000,0.390065214585595,0.9903846153846154,0.5162907268170426
C,500,1,3.0,1500,0.390065214585595,0.9903846153846154,0.5162907268170426
C,500,2,3.0,1500,0.38511208576998046,0.9903846153846154,0.515
C,500,3,3.0,1500,0.390065214585595,0.9903846153846154,0.5162907268170426
C,500,1,4.0,2000,0.39363749575455675,0.9855769230769231,0.5163727959697733
C,500,2,4.0,2000,0.38511208576998046,0.9903846153846154,0.515
C,500,3,4.0,2000,0.4607445553052248,0.9663461538461539,0.53315649867374
C,500,1,5.0,2500,0.4033152487937387,0.9855769230769231,0.5189873417721519
C,500,2,5.0,2500,0.38641310573948906,0.9951923076923077,0.516209476309227
C,500,3,5.0,2500,0.4575204799897511,0.9567307692307693,0.5306666666666666
C,500,1,6.0,3000,0.4726418544462261,0.9519230769230769,0.5351351351351351
C,500,2,6.0,3000,0.38641310573948906,0.9951923076923077,0.516209476309227
C,500,3,6.0,3000,0.4855144855144855,0.9423076923076923,0.5384615384615384
C,500,1,7.0,3500,0.4617591093692312,0.9567307692307693,0.5320855614973262
C,500,2,7.0,3500,0.4100092747171212,0.9759615384615384,0.5191815856777494
C,500,3,7.0,3500,0.4872308323425321,0.9471153846153846,0.5397260273972603
C,500,1,8.0,4000,0.43452212370100873,0.9663461538461539,0.5248041775456919
C,500,2,8.0,4000,0.4743082725318107,0.9567307692307693,0.5363881401617251
C,500,3,8.0,4000,0.5298906334452133,0.9182692307692307,0.553623188405797
C,500,1,9.0,4500,0.4505406258066367,0.9615384615384616,0.5291005291005291
C,500,2,9.0,4500,0.5352355673523557,0.9134615384615384,0.5555555555555556
C,500,3,9.0,4500,0.5401785714285714,0.8990384615384616,0.5565476190476191
C,500,1,10.0,5000,0.5225828058541813,0.9182692307692307,0.5504322766570605
C,500,2,10.0,5000,0.5150974025974026,0.9278846153846154,0.5482954545454546
C,500,3,10.0,5000,0.47015262860373086,0.9567307692307693,0.5349462365591398
B,1000,1,-1.0,1000,0.3971319871232075,0.9807692307692307,0.5164556962025316
B,1000,2,-1.0,1000,0.39363749575455675,0.9855769230769231,0.5163727959697733
B,1000,3,-1.0,1000,0.43743091427952174,0.9615384615384616,0.5249343832020997
A,1000,1,0.0,0,0.49534284328986655,0.8028846153846154,0.5251572327044025
A,1000,2,0.0,0,0.5080830095707382,0.7932692307692307,0.5305466237942122
A,1000,3,0.0,0,0.5539898350488981,0.7548076923076923,0.5547703180212014
C,1000,1,0.25,250,0.45325738551683303,0.8846153846153846,0.5183098591549296
C,1000,2,0.25,250,0.3636845623660128,0.9855769230769231,0.5086848635235732
C,1000,3,0.25,250,0.4103702616417746,0.9615384615384616,0.5167958656330749
C,1000,1,0.5,500,0.4746590787071835,0.8798076923076923,0.5258620689655172
C,1000,2,0.5,500,0.5367640052597142,0.8317307692307693,0.5492063492063493
C,1000,3,0.5,500,0.37003058103975534,0.9711538461538461,0.507537688442211
C,1000,1,0.75,750,0.4950980392156862,0.8846153846153846,0.5348837209302325
C,1000,2,0.75,750,0.4224652306337382,0.9711538461538461,0.5219638242894057
C,1000,3,0.75,750,0.4343547610319223,0.9519230769230769,0.5224274406332454
C,1000,1,1.0,1000,0.46849952416199636,0.9519230769230769,0.5336927223719676
C,1000,2,1.0,1000,0.39229379891631544,0.9807692307692307,0.5151515151515151
C,1000,3,1.0,1000,0.47172125435540074,0.9375,0.5327868852459017
C,1000,1,1.5,1500,0.5471741771273211,0.8653846153846154,0.5572755417956656
C,1000,2,1.5,1500,0.5459051340095962,0.9134615384615384,0.56047197640118
C,1000,3,1.5,1500,0.5521010318002799,0.8942307692307693,0.5619335347432024
C,1000,1,2.0,2000,0.5591041619941688,0.8701923076923077,0.5638629283489096
C,1000,2,2.0,2000,0.5404668721414476,0.9086538461538461,0.5575221238938053
C,1000,3,2.0,2000,0.5544719922927195,0.9086538461538461,0.564179104477612
C,1000,1,3.0,3000,0.5077193100887704,0.9182692307692307,0.5441595441595442
C,1000,2,3.0,3000,0.5656566309866443,0.8942307692307693,0.5688073394495413
C,1000,3,3.0,3000,0.6048964855869577,0.8653846153846154,0.5901639344262295
C,1000,1,4.0,4000,0.6227759768379897,0.8509615384615384,0.6020408163265306
C,1000,2,4.0,4000,0.6119874013783642,0.8605769230769231,0.5946843853820598
C,1000,3,4.0,4000,0.593421052631579,0.875,0.5833333333333334
C,1000,1,5.0,5000,0.5663714542420741,0.8798076923076923,0.5683229813664596
C,1000,2,5.0,5000,0.6140876732858749,0.8653846153846154,0.5960264900662252
C,1000,3,5.0,5000,0.6500934216592658,0.8221153846153846,0.6240875912408759
C,1000,1,6.0,6000,0.6249047769458018,0.8557692307692307,0.6033898305084746
C,1000,2,6.0,6000,0.5603272644956828,0.8894230769230769,0.5657492354740061
C,1000,3,6.0,6000,0.6131310096153846,0.8701923076923077,0.5953947368421053
C,1000,1,7.0,7000,0.6038834951456311,0.8701923076923077,0.5895765472312704
C,1000,2,7.0,7000,0.6500934216592658,0.8221153846153846,0.6240875912408759
C,1000,3,7.0,7000,0.6119874013783642,0.8605769230769231,0.5946843853820598
C,1000,1,8.0,8000,0.6506782945736433,0.8173076923076923,0.625
C,1000,2,8.0,8000,0.6547830926649664,0.8509615384615384,0.6254416961130742
C,1000,3,8.0,8000,0.6059599315413269,0.875,0.5909090909090909
C,1000,1,9.0,9000,0.6360691939639308,0.8413461538461539,0.6118881118881119
C,1000,2,9.0,9000,0.617126641095207,0.8653846153846154,0.5980066445182725
C,1000,3,9.0,9000,0.571659607239122,0.8846153846153846,0.5714285714285714
C,1000,1,10.0,10000,0.6201534934715439,0.8653846153846154,0.6
C,1000,2,10.0,10000,0.6500934216592658,0.8221153846153846,0.6240875912408759
C,1000,3,10.0,10000,0.5976537150561684,0.8701923076923077,0.5857605177993528
B,2500,1,-1.0,2500,0.4969474969474969,0.9519230769230769,0.5439560439560439
B,2500,2,-1.0,2500,0.4114285714285715,0.9807692307692307,0.5204081632653061
B,2500,3,-1.0,2500,0.45485105317741303,0.9615384615384616,0.5305039787798409
A,2500,1,0.0,0,0.5912698412698413,0.6346153846153846,0.5892857142857143
A,2500,2,0.0,0,0.5702879612535066,0.7019230769230769,0.5658914728682171
A,2500,3,0.0,0,0.6019323671497585,0.6009615384615384,0.6067961165048543
C,2500,1,0.25,625,0.5991524159130928,0.7115384615384616,0.5896414342629482
C,2500,2,0.25,625,0.5932823989039326,0.7163461538461539,0.5843137254901961
C,2500,3,0.25,625,0.5883524885876166,0.7115384615384616,0.5803921568627451
C,2500,1,0.5,1250,0.6132144979203803,0.7019230769230769,0.6033057851239669
C,2500,2,0.5,1250,0.6139075417077029,0.7259615384615384,0.601593625498008
C,2500,3,0.5,1250,0.6037985334775815,0.7451923076923077,0.5916030534351145
C,2500,1,0.75,1875,0.6131548536209553,0.7596153846153846,0.5984848484848485
C,2500,2,0.75,1875,0.6076190476190475,0.7596153846153846,0.5939849624060151
C,2500,3,0.75,1875,0.6454999139562898,0.7259615384615384,0.6317991631799164
C,2500,1,1.0,2500,0.6420884673344561,0.6923076923076923,0.6343612334801763
C,2500,2,1.0,2500,0.6107558139534883,0.7788461538461539,0.5955882352941176
C,2500,3,1.0,2500,0.6529764870572046,0.7307692307692307,0.6386554621848739
C,2500,1,1.5,3750,0.6456760630673675,0.7596153846153846,0.626984126984127
C,2500,2,1.5,3750,0.6443762437960056,0.7740384615384616,0.624031007751938
C,2500,3,1.5,3750,0.6487219694846738,0.7548076923076923,0.6305220883534136
C,2500,1,2.0,5000,0.6501877496352635,0.7692307692307693,0.6299212598425197
C,2500,2,2.0,5000,0.6526880699088146,0.7355769230769231,0.6375
C,2500,3,2.0,5000,0.6434186801298233,0.7836538461538461,0.6221374045801527
C,2500,1,3.0,7500,0.6539980344858394,0.7548076923076923,0.6356275303643725
C,2500,2,3.0,7500,0.6517204429098702,0.75,0.6341463414634146
C,2500,3,3.0,7500,0.6555577608968921,0.7980769230769231,0.6311787072243346
C,2500,1,4.0,10000,0.6510886212799183,0.7884615384615384,0.6283524904214559
C,2500,2,4.0,10000,0.6501877496352635,0.7692307692307693,0.6299212598425197
C,2500,3,4.0,10000,0.6667618231991628,0.7596153846153846,0.6475409836065574
C,2500,1,5.0,12500,0.6569443196453708,0.7836538461538461,0.6342412451361867
C,2500,2,5.0,12500,0.6664364805333969,0.7644230769230769,0.6463414634146342
C,2500,3,5.0,12500,0.6534567789174306,0.8173076923076923,0.6273062730627307
C,2500,1,6.0,15000,0.6725527808154509,0.7884615384615384,0.6482213438735178
C,2500,2,6.0,15000,0.6632287534559442,0.8028846153846154,0.6374045801526718
C,2500,3,6.0,15000,0.6577908320493067,0.8028846153846154,0.6325757575757576
C,2500,1,7.0,17500,0.6681812717874744,0.8076923076923077,0.6412213740458015
C,2500,2,7.0,17500,0.6589877899213987,0.8173076923076923,0.6319702602230484
C,2500,3,7.0,17500,0.6731337901190046,0.8125,0.6450381679389313
C,2500,1,8.0,20000,0.6791639668772997,0.7692307692307693,0.6584362139917695
C,2500,2,8.0,20000,0.6589877899213987,0.8173076923076923,0.6319702602230484
C,2500,3,8.0,20000,0.6584430123143021,0.8221153846153846,0.6309963099630996
C,2500,1,9.0,22500,0.6735811005473927,0.8076923076923077,0.6461538461538462
C,2500,2,9.0,22500,0.6663847551868713,0.7980769230769231,0.640926640926641
C,2500,3,9.0,22500,0.6762696513294826,0.8076923076923077,0.6486486486486487
C,2500,1,10.0,25000,0.6766885314643425,0.8028846153846154,0.6498054474708171
C,2500,2,10.0,25000,0.6766885314643425,0.8028846153846154,0.6498054474708171
C,2500,3,10.0,25000,0.6793582375478928,0.8028846153846154,0.65234375
B,5000,1,-1.0,5000,0.5336728919071874,0.9375,0.5571428571428572
B,5000,2,-1.0,5000,0.5388110614340123,0.9134615384615384,0.5571847507331378
B,5000,3,-1.0,5000,0.5662255959653729,0.9038461538461539,0.5696969696969697
A,5000,1,0.0,0,0.6382450867733286,0.6490384615384616,0.6398104265402843
A,5000,2,0.0,0,0.6574259177355153,0.6201923076923077,0.675392670157068
A,5000,3,0.0,0,0.6623806912977603,0.6298076923076923,0.6787564766839378
C,5000,1,0.25,1250,0.6348812477844736,0.6826923076923077,0.6283185840707964
C,5000,2,0.25,1250,0.6377327314036174,0.6730769230769231,0.6334841628959276
C,5000,3,0.25,1250,0.64259537930424,0.6778846153846154,0.6380090497737556
C,5000,1,0.5,2500,0.6298117847347016,0.6826923076923077,0.6228070175438597
C,5000,2,0.5,2500,0.6455976621417798,0.6490384615384616,0.6490384615384616
C,5000,3,0.5,2500,0.6357077173374832,0.6538461538461539,0.6355140186915887
C,5000,1,0.75,3750,0.6504772004241781,0.6490384615384616,0.6553398058252428
C,5000,2,0.75,3750,0.6601861670790621,0.6586538461538461,0.6650485436893204
C,5000,3,0.75,3750,0.6477075040542533,0.6730769230769231,0.6451612903225806
C,5000,1,1.0,5000,0.6546806752449534,0.6923076923076923,0.6486486486486487
C,5000,2,1.0,5000,0.6545256991685564,0.6971153846153846,0.6473214285714286
C,5000,3,1.0,5000,0.6541662725811028,0.7067307692307693,0.6447368421052632
C,5000,1,1.5,7500,0.6523826500297089,0.7403846153846154,0.6363636363636364
C,5000,2,1.5,7500,0.6535026414915543,0.7211538461538461,0.6410256410256411
C,5000,3,1.5,7500,0.6451967334818114,0.7307692307692307,0.6307053941908713
C,5000,1,2.0,10000,0.6647720861172979,0.75,0.6473029045643154
C,5000,2,2.0,10000,0.6709167825340947,0.7307692307692307,0.658008658008658
C,5000,3,2.0,10000,0.6552792266747369,0.7355769230769231,0.6401673640167364
C,5000,1,3.0,15000,0.648336168561793,0.7596153846153846,0.6294820717131474
C,5000,2,3.0,15000,0.6595709266866006,0.75,0.6419753086419753
C,5000,3,3.0,15000,0.6727833096254148,0.7451923076923077,0.6567796610169492
C,5000,1,4.0,20000,0.687434803224277,0.7596153846153846,0.6694915254237288
C,5000,2,4.0,20000,0.6794536005939124,0.7644230769230769,0.6597510373443983
C,5000,3,4.0,20000,0.6814635074697878,0.7740384615384616,0.6598360655737705
C,5000,1,5.0,25000,0.6801242236024845,0.7932692307692307,0.6547619047619048
C,5000,2,5.0,25000,0.6886643699089032,0.7836538461538461,0.6653061224489796
C,5000,3,5.0,25000,0.6871900728402971,0.7644230769230769,0.6680672268907563
C,5000,1,6.0,30000,0.6906464530892448,0.7932692307692307,0.6653225806451613
C,5000,2,6.0,30000,0.6871900728402971,0.7644230769230769,0.6680672268907563
C,5000,3,6.0,30000,0.690314267306178,0.7980769230769231,0.664
C,5000,1,7.0,35000,0.6824008174826555,0.7980769230769231,0.6561264822134387
C,5000,2,7.0,35000,0.6842911877394637,0.8076923076923077,0.65625
C,5000,3,7.0,35000,0.6846762813613642,0.8028846153846154,0.65748031496063
C,5000,1,8.0,40000,0.6869506949139359,0.8076923076923077,0.6588235294117647
C,5000,2,8.0,40000,0.6935672932174245,0.7884615384615384,0.6693877551020408
C,5000,3,8.0,40000,0.6869506949139359,0.8076923076923077,0.6588235294117647
C,5000,1,9.0,45000,0.689603214465093,0.8076923076923077,0.6614173228346457
C,5000,2,9.0,45000,0.6955568268497331,0.7980769230769231,0.6693548387096774
C,5000,3,9.0,45000,0.6873248358162576,0.8028846153846154,0.6600790513833992
C,5000,1,10.0,50000,0.6812120994007882,0.8125,0.6525096525096525
C,5000,2,10.0,50000,0.6842911877394637,0.8076923076923077,0.65625
C,5000,3,10.0,50000,0.6899665551839466,0.8028846153846154,0.6626984126984127
B,7500,1,-1.0,7500,0.5548528210398713,0.9182692307692307,0.5650887573964497
B,7500,2,-1.0,7500,0.5662255959653729,0.9038461538461539,0.5696969696969697
B,7500,3,-1.0,7500,0.5749447310243183,0.8846153846153846,0.573208722741433
A,7500,1,0.0,0,0.6678994784257943,0.5865384615384616,0.7093023255813954
A,7500,2,0.0,0,0.6334411586210147,0.6153846153846154,0.6432160804020101
A,7500,3,0.0,0,0.675100056328007,0.5913461538461539,0.7192982456140351
C,7500,1,0.25,1875,0.6695213154976762,0.6298076923076923,0.6894736842105263
