type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
B,500,4,-1.0,500,0.3765133171912833,0.9086538461538461,0.49736842105263157
B,500,5,-1.0,500,0.3409038969226526,1.0,0.5060827250608273
B,500,6,-1.0,500,0.3322528363047002,0.9855769230769231,0.5012224938875306
A,500,4,0.0,0,0.33548387096774196,1.0,0.5048543689320388
A,500,5,0.0,0,0.33548387096774196,1.0,0.5048543689320388
A,500,6,0.0,0,0.33548387096774196,1.0,0.5048543689320388
C,500,4,0.25,125,0.33548387096774196,1.0,0.5048543689320388
C,500,5,0.25,125,0.33548387096774196,1.0,0.5048543689320388
C,500,6,0.25,125,0.4281972626918998,0.9326923076923077,0.5173333333333333
C,500,4,0.5,250,0.33548387096774196,1.0,0.5048543689320388
C,500,5,0.5,250,0.33548387096774196,1.0,0.5048543689320388
C,500,6,0.5,250,0.33548387096774196,1.0,0.5048543689320388
C,500,4,0.75,375,0.3869333991712431,0.7932692307692307,0.4782608695652174
C,500,5,0.75,375,0.3409038969226526,1.0,0.5060827250608273
C,500,6,0.75,375,0.3409038969226526,1.0,0.5060827250608273
C,500,4,1.0,500,0.34627831715210355,1.0,0.5073170731707317
C,500,5,1.0,500,0.3409038969226526,1.0,0.5060827250608273
C,500,6,1.0,500,0.33548387096774196,1.0,0.5048543689320388
C,500,4,1.5,750,0.33548387096774196,1.0,0.5048543689320388
C,500,5,1.5,750,0.33548387096774196,1.0,0.5048543689320388
C,500,6,1.5,750,0.33548387096774196,1.0,0.5048543689320388
C,500,4,2.0,1000,0.33548387096774196,1.0,0.5048543689320388
C,500,5,2.0,1000,0.33548387096774196,1.0,0.5048543689320388
C,500,6,2.0,1000,0.33548387096774196,1.0,0.5048543689320388
C,500,4,3.0,1500,0.33548387096774196,1.0,0.5048543689320388
C,500,5,3.0,1500,0.33548387096774196,1.0,0.5048543689320388
C,500,6,3.0,1500,0.33548387096774196,1.0,0.5048543689320388
C,500,4,4.0,2000,0.33548387096774196,1.0,0.5048543689320388
C,500,5,4.0,2000,0.33548387096774196,1.0,0.5048543689320388
C,500,6,4.0,2000,0.33548387096774196,1.0,0.5048543689320388
C,500,4,5.0,2500,0.3409038969226526,1.0,0.5060827250608273
C,500,5,5.0,2500,0.35160782655673783,1.0,0.508557457212714
C,500,6,5.0,2500,0.39363749575455675,0.9855769230769231,0.5163727959697733
C,500,4,6.0,3000,0.33548387096774196,1.0,0.5048543689320388
C,500,5,6.0,3000,0.33548387096774196,1.0,0.5048543689320388
C,500,6,6.0,3000,0.367333643555142,1.0,0.5123152709359606
C,500,4,7.0,3500,0.33548387096774196,1.0,0.5048543689320388
C,500,5,7.0,3500,0.33548387096774196,1.0,0.5048543689320388
C,500,6,7.0,3500,0.33548387096774196,1.0,0.5048543689320388
C,500,4,8.0,4000,0.33548387096774196,1.0,0.5048543689320388
C,500,5,8.0,4000,0.33548387096774196,1.0,0.5048543689320388
C,500,6,8.0,4000,0.33548387096774196,1.0,0.5048543689320388
C,500,4,9.0,4500,0.33548387096774196,1.0,0.5048543689320388
C,500,5,9.0,4500,0.33548387096774196,1.0,0.5048543689320388
