type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
B,500,1,-1.0,500,0.3752921669022334,0.06703146374829001,0.8596491228070176
B,500,2,-1.0,500,0.3824318429661941,0.07660738714090287,0.8115942028985508
B,500,3,-1.0,500,0.36634771803057975,0.07387140902872777,0.5625
A,500,1,0.0,0,0.35693359374999994,1.0,0.5550493545937737
A,500,2,0.0,0,0.35661944308744503,0.9986320109439124,0.5547112462006079
A,500,3,0.0,0,0.3712493787113819,0.9904240766073872,0.5564950038431975
C,500,1,0.25,125,0.5828028005050091,0.8837209302325582,0.6187739463601533
C,500,2,0.25,125,0.4654356722227767,0.948016415868673,0.5755813953488372
C,500,3,0.25,125,0.377395852338381,0.9863201094391245,0.5571870170015456
C,500,1,0.5,250,0.5932963110919546,0.8946648426812586,0.6246418338108882
C,500,2,0.5,250,0.4007296536561205,0.9945280437756497,0.5644409937888198
C,500,3,0.5,250,0.3686226912668398,0.9945280437756497,0.5566615620214395
C,500,1,0.75,375,0.5583017532605625,0.9466484268125855,0.6102292768959435
C,500,2,0.75,375,0.4399730713495133,0.9616963064295485,0.5696920583468396
C,500,3,0.75,375,0.4288267660780692,0.9562243502051984,0.5655339805825242
C,500,1,1.0,500,0.557811912386961,0.9425444596443229,0.6097345132743363
C,500,2,1.0,500,0.45181605950377324,0.960328317373461,0.5730612244897959
C,500,3,1.0,500,0.4276720790312123,0.9726402188782489,0.5678913738019169
C,500,1,1.5,750,0.6248122087319108,0.8768809849521204,0.6429287863590772
C,500,2,1.5,750,0.6541629330943847,0.8563611491108071,0.6638388123011665
C,500,3,1.5,750,0.3866647052273712,0.9945280437756497,0.5609567901234568
C,500,1,2.0,1000,0.6443580597352357,0.8645690834473324,0.656282450674974
C,500,2,2.0,1000,0.542555333132964,0.9548563611491108,0.6043290043290044
C,500,3,2.0,1000,0.3765948981307913,0.9972640218878249,0.5590490797546013
C,500,1,3.0,1500,0.6483201120654883,0.8604651162790697,0.6593291404612159
C,500,2,3.0,1500,0.5180917532035522,0.960328317373461,0.5954198473282443
C,500,3,3.0,1500,0.5679360781358168,0.9261285909712722,0.6132246376811594
C,500,1,4.0,2000,0.6198590597045974,0.9001367989056087,0.6394557823129252
C,500,2,4.0,2000,0.6224333775847017,0.8919288645690835,0.6411012782694199
C,500,3,4.0,2000,0.6463348906885087,0.8686730506155951,0.6573498964803313
C,500,1,5.0,2500,0.6299838244503722,0.8768809849521204,0.6461693548387096
C,500,2,5.0,2500,0.6318647780623741,0.8700410396716827,0.6476578411405295
C,500,3,5.0,2500,0.5229517913593257,0.9521203830369357,0.596401028277635
C,500,1,6.0,3000,0.6574349968982176,0.8221614227086184,0.6700111482720178
C,500,2,6.0,3000,0.6410726340792599,0.853625170998632,0.6547743966421826
C,500,3,6.0,3000,0.6211162255466054,0.8823529411764706,0.6405163853028798
C,500,1,7.0,3500,0.6418355283970762,0.8290013679890561,0.6572668112798264
C,500,2,7.0,3500,0.6507824687676913,0.8030095759233926,0.6670454545454545
C,500,3,7.0,3500,0.4495465988805514,0.6470588235294118,0.5261401557285873
C,500,1,8.0,4000,0.6440280517203594,0.8043775649794802,0.6614173228346457
C,500,2,8.0,4000,0.40766645536223356,0.8549931600547196,0.5415944540727903
C,500,3,8.0,4000,0.6373980948059393,0.813953488372093,0.6552863436123348
C,500,1,9.0,4500,0.6471744694531112,0.719562243502052,0.6778350515463918
C,500,2,9.0,4500,0.6391323180304017,0.759233926128591,0.6630824372759857
C,500,3,9.0,4500,0.6294514749748348,0.8153214774281806,0.6492374727668845
C,500,1,10.0,5000,0.638881272278585,0.7551299589603283,0.6634615384615384
C,500,2,10.0,5000,0.646371438980653,0.7332421340629275,0.6742138364779874
C,500,3,10.0,5000,0.6366586465496566,0.7688098495212038,0.6596244131455399
B,1000,1,-1.0,1000,0.6223127501016996,0.5348837209302325,0.7135036496350365
B,1000,2,-1.0,1000,0.5749031670084301,0.8207934336525308,0.6128702757916241
B,1000,3,-1.0,1000,0.5760679799328823,0.47606019151846785,0.6666666666666666
A,1000,1,0.0,0,0.5858350137525107,0.905608755129959,0.6210131332082551
A,1000,2,0.0,0,0.6436187776263629,0.801641586867305,0.6613995485327314
A,1000,3,0.0,0,0.47856995124833807,0.9562243502051984,0.5810473815461347
C,1000,1,0.25,250,0.6427955006090253,0.8290013679890561,0.6579804560260586
C,1000,2,0.25,250,0.5265517047688592,0.9316005471956225,0.5958005249343832
