type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
B,500,1,-1.0,500,0.37733289544504955,0.03288888888888889,0.5068493150684932
B,500,2,-1.0,500,0.4093506936980316,0.8977777777777778,0.4688950789229341
B,500,3,-1.0,500,0.45110828871929987,0.15288888888888888,0.5
A,500,1,0.0,0,0.49249996340332713,0.9466666666666667,0.5061787072243346
A,500,2,0.0,0,0.5707223910919696,0.7733333333333333,0.5311355311355311
A,500,3,0.0,0,0.48222862632084534,0.8746666666666667,0.4924924924924925
C,500,1,0.25,125,0.6298889620394063,0.7164444444444444,0.5819494584837546
C,500,2,0.25,125,0.3919082945315981,0.9235555555555556,0.468018018018018
C,500,3,0.25,125,0.48142814444474635,0.8773333333333333,0.49251497005988026
C,500,1,0.5,250,0.5692121300182051,0.8737777777777778,0.5351115949918345
C,500,2,0.5,250,0.4679938259272578,0.8657777777777778,0.48530144494270055
C,500,3,0.5,250,0.4570423393243629,0.8933333333333333,0.48503861003861004
C,500,1,0.75,375,0.6347611075836939,0.6328888888888888,0.6013513513513513
C,500,2,0.75,375,0.5996344984730749,0.7697777777777778,0.5522959183673469
C,500,3,0.75,375,0.627603426590067,0.736,0.5778087927424983
C,500,1,1.0,500,0.6300356049103296,0.6515555555555556,0.5916061339790153
C,500,2,1.0,500,0.5600163024013107,0.728,0.5219885277246654
C,500,3,1.0,500,0.5598985356854607,0.7768888888888889,0.5239808153477218
C,500,1,1.5,750,0.6200237554261174,0.72,0.5720338983050848
C,500,2,1.5,750,0.45769876232431306,0.8826666666666667,0.4836824159766196
C,500,3,1.5,750,0.5029107866743882,0.8551111111111112,0.49922158796056043
C,500,1,2.0,1000,0.6230717817748028,0.6995555555555556,0.5769794721407625
C,500,2,2.0,1000,0.5161126148423038,0.8311111111111111,0.5029585798816568
C,500,3,2.0,1000,0.4462771576973195,0.904,0.4826767916468913
C,500,1,3.0,1500,0.6189140442211449,0.7626666666666667,0.5682119205298013
C,500,2,3.0,1500,0.5725233517134085,0.8195555555555556,0.5341830822711472
C,500,3,3.0,1500,0.5057626625971949,0.8613333333333333,0.5012933264355923
C,500,1,4.0,2000,0.6541359399197737,0.6942222222222222,0.6115896632732968
